Frame Info: 
Type,Depth
Format,Z16
Frame Number,5359
Timestamp (ms),1686043795033.24
Resolution x,424
Resolution y,240
Bytes per pixel,2

Intrinsic:,
Fx,215.341156
Fy,215.341156
PPx,215.495026
PPy,118.207695
Distorsion,Brown Conrady
